Feature,Importance
Engine_Horsepower_No,2.7537497765257412e-05
fiModelSeries_V,2.7344291327777668e-05
"fiProductClassDesc_Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",2.723922884676586e-05
saledate_2001-10-09,2.687567437211458e-05
fiModelDesc_27CZTS,2.660822807561155e-05
fiProductClassDesc_Wheel Loader - 275.0 to 350.0 Horsepower,2.64236138111358e-05
fiBaseModel_27,2.6263164919849935e-05
fiModelDesc_750C,2.5766126241075208e-05
UsageBand_Low,2.5196142934789632e-05
fiModelDesc_14H,2.5055836827651295e-05
saledate_1995-04-07,2.41285400967602e-05
fiBaseModel_950,2.4033139712561248e-05
fiSecondaryDesc_SUPER L,2.3995047793250104e-05
fiModelDesc_670CHII,2.348222774538191e-05
fiModelDesc_ZX350LC3,2.2952770964035085e-05
fiBaseModel_PC60,2.2590739837828007e-05
state_Maryland,2.218646956999361e-05
fiSecondaryDesc_SG,2.1947777294791183e-05
state_Florida,2.1322424071951563e-05
fiModelDesc_S185,2.034455049284915e-05
fiSecondaryDesc_SUPER K,2.0021975455658054e-05
fiModelSeries_-12,1.9896617400377792e-05
fiModelDesc_130G,1.970945598303605e-05
state_Maryland,1.960149222549992e-05
fiModelDesc_IT28G,1.941236929864528e-05
fiModelDesc_570,1.906987908778788e-05
fiBaseModel_120,1.8993900713773524e-05
fiBaseModel_315,1.8881389785060617e-05
saledate_2011-03-04,1.8829035001981045e-05
fiModelDesc_416D,1.8712916546890667e-05
fiBaseModel_135,1.8637835616526838e-05
saledate_2009-06-30,1.832534007453549e-05
fiModelDesc_330CL,1.8155968257834908e-05
fiModelDesc_PC300LC3,1.8068163248960957e-05
fiModelDesc_D6DLGP,1.8058507616085615e-05
fiBaseModel_570,1.7993099885854096e-05
UsageBand_Medium,1.7769992215106598e-05
fiModelDesc_PC200LC7,1.75797638770359e-05
saledate_1994-09-29,1.7534636585930188e-05
fiModelDesc_PC60-7,1.7497994627030208e-05
fiBaseModel_D68,1.7346577812856714e-05
fiModelDesc_770BH,1.7234815511083405e-05
Scarifier_None or Unspecified,1.7230319748043017e-05
fiSecondaryDesc_UU,1.7227298578409094e-05
saledate_2011-04-13,1.7183289857757477e-05
fiModelDesc_T300,1.7157621592276893e-05
Enclosure_Type_Low Profile,1.6990714905950744e-05
fiProductClassDesc_Skid Steer Loader - 0.0 to 701.0 Lb Operating Capacity,1.6844079431697165e-05
fiSecondaryDesc_M,1.6713050861371664e-05
fiModelDesc_772A,1.6694306898823113e-05
fiBaseModel_WA380,1.6384753979112222e-05
state_Minnesota,1.6336358333325253e-05
saledate_2010-04-27,1.6328352354051633e-05
saledate_2011-05-24,1.6039163817870195e-05
Pattern_Changer_None or Unspecified,1.561457973884625e-05
state_Minnesota,1.5171838248062845e-05
fiProductClassDesc_Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,1.4928088840160977e-05
fiModelDesc_350L,1.4910719387301185e-05
fiBaseModel_S185,1.4885769594528244e-05
fiBaseModel_D3,1.4610396059362602e-05
state_Kansas,1.4600635895064492e-05
Tire_Size_None or Unspecified,1.454360370297135e-05
is_fiscal_season,1.4500893291444358e-05
fiBaseModel_770,1.4397788354567026e-05
Enclosure_OROPS,1.4300372642484443e-05
fiBaseModel_980,1.4165713281761891e-05
fiBaseModel_T300,1.4046422681705111e-05
fiModelDesc_135HNA,1.3952651765178436e-05
fiProductClassDesc_Wheel Loader - 150.0 to 175.0 Horsepower,1.3605491748700146e-05
fiBaseModel_330,1.3382788558659556e-05
Enclosure_EROPS,1.304443245475125e-05
fiModelDesc_RG170,1.3027572938889199e-05
Hydraulics_4 Valve,1.3006824402735514e-05
saledate_2009-05-27,1.2995748987996705e-05
saledate_1999-12-08,1.2868777337754059e-05
fiModelDesc_D68P-1,1.2830040938212578e-05
fiModelDesc_320CL,1.2540607092627917e-05
fiModelDesc_120HNA,1.2481721314500423e-05
Tip_Control_Sideshift & Tip,1.2417006310497106e-05
fiModelDesc_D6RIILGP,1.2408879312674462e-05
fiSecondaryDesc_CH,1.2407049860919065e-05
fiModelDesc_D10N,1.2340896258128354e-05
fiModelDesc_644J,1.2187896227415415e-05
state_Kansas,1.192786216629172e-05
fiModelDesc_772BH,1.168090927217863e-05
Tip_Control_None or Unspecified,1.1301384496850372e-05
"fiProductClassDesc_Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",1.1283922182072713e-05
state_Texas,1.1191261863180437e-05
fiModelDesc_PC228USLC3NO,1.090584805669657e-05
fiSecondaryDesc_SE,1.0815753088245323e-05
Blade_Type_PAT,1.042092723508316e-05
"Tire_Size_17.5""",1.0243777894456994e-05
fiModelDesc_G940,1.0132426855869873e-05
fiModelDescriptor_LGP,1.0132412425008042e-05
"Stick_Length_9' 7""",1.0118693361885265e-05
fiBaseModel_RG170,1.0041562843405205e-05
state_Texas,9.83929834976098e-06
fiBaseModel_A606,9.73582144545939e-06
fiModelDesc_A606,9.344644615997368e-06
fiBaseModel_D61,9.216292881035486e-06
saledate_1998-06-06,9.1836076338355e-06
saledate_2008-01-29,9.07028682880358e-06
saledate_2000-06-27,8.94410272975388e-06
Hydraulics_2 Valve,8.928867630776852e-06
fiModelDesc_310SE,8.921624895726147e-06
fiModelDescriptor_H,8.891265568016725e-06
saledate_1998-11-19,8.77723814681679e-06
saledate_2005-03-01,8.751370038404664e-06
fiBaseModel_D65,8.718205087072821e-06
saledate_2000-09-20,8.660526581600285e-06
fiModelDesc_D5GXL,8.566889931516624e-06
fiProductClassDesc_Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,8.52241600995978e-06
fiModelDesc_750CLT,8.456581286138205e-06
fiModelDescriptor_3NO,8.387052357787528e-06
Ride_Control_No,8.371543227988903e-06
fiModelDesc_446D,8.367157117462911e-06
saledate_2006-06-20,8.346593092351326e-06
