per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
34,1,1,0,2,1,235
35,1,1,0,2,1,252
36,1,1,0,2,1,275
25,1,1,0,3,1,236
26,1,1,0,3,1,251
27,1,1,0,3,1,229
28,1,1,0,3,1,213
29,1,1,0,3,1,222
30,1,1,0,3,1,220
31,1,1,0,3,1,228
32,1,1,0,3,1,225
33,1,1,0,3,1,235
34,1,1,0,3,1,228
35,1,1,0,3,1,231
36,1,1,0,3,1,227
25,1,1,0,4,1,275
26,1,1,0,4,1,258
27,1,1,0,4,1,282
28,1,1,0,4,1,292
29,1,1,0,4,1,290
30,1,1,0,4,1,305
31,1,1,0,4,1,308
32,1,1,0,4,1,319
33,1,1,0,4,1,315
34,1,1,0,4,1,325
35,1,1,0,4,1,314
36,1,1,0,4,1,321
25,1,1,0,5,1,286
26,1,1,0,5,1,276
27,1,1,0,5,1,288
28,1,1,0,5,1,292
29,1,1,0,5,1,296
30,1,1,0,5,1,324
31,1,1,0,5,1,310
32,1,1,0,5,1,314
33,1,1,0,5,1,322
34,1,1,0,5,1,335
35,1,1,0,5,1,355
36,1,1,0,5,1,338
25,1,2,0,1,1,703
26,1,2,0,1,1,673
27,1,2,0,1,1,699
28,1,2,0,1,1,687
29,1,2,0,1,1,706
30,1,2,0,1,1,716
31,1,2,0,1,1,741
32,1,2,0,1,1,747
33,1,2,0,1,1,738
34,1,2,0,1,1,766
35,1,2,0,1,1,768
36,1,2,0,1,1,774
25,1,3,0,1,1,207
26,1,3,0,1,1,225
27,1,3,0,1,1,242
28,1,3,0,1,1,246
29,1,3,0,1,1,255
30,1,3,0,1,1,285
31,1,3,0,1,1,278
32,1,3,0,1,1,341
33,1,3,0,1,1,288
34,1,3,0,1,1,281
35,1,3,0,1,1,310
36,1,3,0,1,1,315
25,2,1,0,1,0,59.7
26,2,1,0,1,0,58.8
27,2,1,0,1,0,92.7
28,2,1,0,1,0,94
29,2,1,0,1,0,105.3
30,2,1,0,1,0,104.5
31,2,1,0,1,0,92.8
32,2,1,0,1,0,108.6
33,2,1,0,1,0,90.4
34,2,1,0,1,0,98.3
35,2,1,0,1,0,87.4
36,2,1,0,1,0,71.7
25,2,1,0,2,0,7.9
26,2,1,0,2,0,8.3
27,2,1,0,2,0,16.9
28,2,1,0,2,0,20.5
29,2,1,0,2,0,23.3
30,2,1,0,2,0,21.7
